,Random Query,MSSIM,EarthMovers,OneDividedByEpsilon,KSTest,Scagnostics
17_DAWA_distribution_0.1_32,60.1886,0.582220793,1.7890625,10,0.744140625,0.235650558
17_AHP_distribution_0.1_32,159.9623644,0.458678275,3.845041703,10,0.439453125,0.255200449
17_AGrid_distribution_0.1_32,43.93283879,0.510527551,1.488954151,10,0.830078125,0.065632917
17_Geometric_distribution_0.1_32,178.8172,0.631014585,3.190429688,10,0.822265625,0.218965082
17_Laplace_distribution_0.1_32,83.93597898,0.546557307,7.50680776,10,0.671875,0.228207612
17_DAWA_distribution_0.1_64,32.7302,0.647602856,0.592529297,10,0.841308594,0.078986313
17_AHP_distribution_0.1_64,46.1416829,0.715294302,1.290687691,10,0.291748047,0.253952448
17_AGrid_distribution_0.1_64,21.59593199,0.51881814,0.706326678,10,0.625244141,0.221897904
17_Geometric_distribution_0.1_64,281.6638,0.61293149,4.590332031,10,0.689697266,0.222283517
17_Laplace_distribution_0.1_64,90.24389441,0.533527136,8.964662593,10,0.560302734,0.208729064
17_DAWA_distribution_0.05_32,84.1796,0.564848304,2.954101563,20,0.724609375,0.168569765
17_AHP_distribution_0.05_32,168.6755315,0.406392813,4.110290863,20,0.44140625,0.230222345
17_AGrid_distribution_0.05_32,80.05225994,0.466796458,2.519511886,20,0.74609375,0.0930653
17_Geometric_distribution_0.05_32,422.507,0.576134801,7.543945313,20,0.712890625,0.219870685
17_Laplace_distribution_0.05_32,155.81685,0.488592058,16.96016395,20,0.598632813,0.215834939
17_DAWA_distribution_0.05_64,33.1108,0.531297028,0.739257813,20,0.806396484,0.087263467
17_AHP_distribution_0.05_64,46.49840945,0.721736252,1.31607548,20,0.291748047,0.220952418
17_AGrid_distribution_0.05_64,37.43034559,0.499649763,0.819513278,20,0.709228516,0.263126588
17_Geometric_distribution_0.05_64,578.5364,0.63197577,9.342773438,20,0.643310547,0.246304044
17_Laplace_distribution_0.05_64,156.7777007,0.486373007,18.98080905,20,0.526855469,0.223321438
17_DAWA_distribution_0.01_32,128.1298,0.586820722,2.385742188,100,0.728515625,0.222747367
17_AHP_distribution_0.01_32,230.0871102,0.342124641,6.077849901,100,0.44921875,0.263345665
17_AGrid_distribution_0.01_32,377.9159266,0.420060158,21.8720924,100,0.546875,0.257261052
17_Geometric_distribution_0.01_32,3270.4426,0.522223115,52.28320313,100,0.620117188,0.240582617
17_Laplace_distribution_0.01_32,681.919404,0.397674859,85.62868272,100,0.521484375,0.23841557
